player_id,name_common,year_id,age,pos,team_id,tmRtg,franch_id,G,Min,MP%,MPG,P/36,TS%,A/36,R/36,SB/36,TO/36,Raptor O,Raptor D,Raptor+/-,Raptor WAR,PIE%,AWS%,USG%,AST%,TOV%,ORB%,DRB%,TRB%,STL%,BLK%,ORtg,%Pos,DRtg,2P%,3P%,FT%,3PAr,FTAr
youngtr01,Trae Young,2020,21,PG,ATL,-7.6,ATL,60,2120,65.1,35.3,29.3,59.5,9.2,4.2,1.2,4.8,7.1,-3.5,3.6,7,17,15.4,34.9,45.6,16.2,1.6,11.5,6.5,1.4,0.3,113.6,36.1,117.2,50.1,36.1,86,45.5,44.8
huntede01,De'Andre Hunter,2020,22,SF,ATL,-7.6,ATL,63,2018,62,32,13.5,52.1,1.9,5,1.1,1.8,-2.5,-1.3,-3.8,-1.1,5.9,4.7,17.5,8,12.1,2.3,13.1,7.6,1,0.7,99.5,16.9,117.3,45.4,35.5,76.4,44.5,21.1
huertke01,Kevin Huerter,2020,21,SG,ATL,-7.6,ATL,56,1760,54.1,31.4,13.6,53.6,4.2,4.5,1.5,1.7,-0.4,-2.4,-2.8,-0.1,8,8.1,17.1,17.5,12,2.1,12,7,1.4,1.3,107.1,17.2,116.5,45.3,38,82.8,54.8,10.5
reddica01,Cam Reddish,2020,20,SF,ATL,-7.6,ATL,58,1551,47.6,26.7,13.7,50,2,4.9,2,2.2,-2.8,-0.1,-3,-0.2,5.9,5,18.9,8,13.6,2.4,12.7,7.5,1.9,1.5,94.7,18.3,115,42.8,33.2,80.2,45.1,22.7
collijo01,John Collins,2020,22,PF,ATL,-7.6,ATL,41,1363,41.9,33.2,22.7,65.9,1.5,10.7,2.5,1.9,-0,-0.3,-0.3,1.7,15.6,17.1,22.7,7.6,10.1,9,24,16.4,1.1,4.1,123.7,21.6,112.2,64.2,40.1,80,24.3,24.8
bembrde01,DeAndre' Bembry,2020,25,SG,ATL,-7.6,ATL,43,915,28.1,21.3,9.5,50,3.1,5.8,2.8,2.3,-4.2,2.4,-1.7,0.5,6.4,6.2,14,12.3,19.4,3.9,14.1,8.9,2.8,1.7,94.9,14.6,112.4,54.6,23.1,54.2,28.5,21.1
jonesda03,Damian Jones,2020,24,C,ATL,-7.6,ATL,55,887,27.2,16.1,12.1,71.2,1.4,8.1,2.6,1.1,-1.5,-2.6,-4.2,-0.7,8.3,10.2,11.4,5.6,11.5,8.9,16.2,12.5,1.4,3.8,137.7,11.7,113.5,70.4,22.2,73.8,5.1,47.2
cartevi01,Vince Carter,2020,43,SF,ATL,-7.6,ATL,60,876,26.9,14.6,11.9,47,1.9,4.9,1.9,1.3,-2.7,-1.1,-3.8,-0.5,4.8,4.3,16.6,7.7,9.4,2.2,13.2,7.6,1.2,2.4,94.5,15.9,115.7,45.1,30.2,79.3,66.4,9.5
parkeja01,Jabari Parker,2020,24,PF,ATL,-7.6,ATL,32,837,25.7,26.2,20,56.5,2.4,8,2.4,2.5,0.9,-1.7,-0.8,0.8,11.2,11.2,24,11.6,12.4,6.9,17.9,12.3,2.3,1.5,106.3,23.3,112.6,60.1,27,73.6,29.3,18.3
lenal01,Alex Len,2020,26,C,ATL,-7.6,ATL,40,745,22.9,18.6,16.4,59,2,10.8,2.5,1.8,-2.4,1.6,-0.8,0.8,11.2,12.1,18.6,8.7,11.7,9.8,23.6,16.6,1.3,3.7,115.3,18.7,112.1,62.7,25,63,21.5,31.2
fernabr01,Bruno Fernando,2020,21,C,ATL,-7.6,ATL,56,713,21.9,12.7,11.8,54.2,2.4,9.7,1.7,2.1,-3.1,-0.7,-3.7,-0.4,7.3,7.2,15.3,9.9,15.9,10,20,15,1.2,2,107.3,16.2,114.2,60.5,13.5,56.9,18.6,25.6
crabbal01,Allen Crabbe,2020,27,SG,ATL,-7.6,ATL,28,522,16,18.6,9.6,48.2,1.9,4.4,1.3,0.8,-2.2,-2.8,-5,-0.6,5,5.1,12.7,7.3,7.5,2,11.5,6.7,1.3,0.6,100.4,12.3,117.1,44,32.3,75,65,8.4
teaguje01,Jeff Teague,2020,31,PG,ATL,-7.6,ATL,25,519,15.9,20.8,13,51.2,6.7,3.6,1.7,2.7,-0.8,-2,-2.8,0,8.7,7.3,18.3,27.3,17.5,2.5,8.8,5.6,1.7,1,105.2,19.7,116.8,43,33.3,88.7,18.2,32.1
goodwbr01,Brandon Goodwin,2020,24,PG,ATL,-7.6,ATL,34,430,13.2,12.6,16.7,50.7,4.1,5.9,1.3,2.4,-2.7,-0.1,-2.9,0,8.5,6.7,22.4,18,12.5,2.7,15.5,9,1.3,0.8,100.6,22.3,116,48.5,29.9,93.3,45.8,15.8
grahatr01,Treveon Graham,2020,26,SG,ATL,-7.6,ATL,22,266,8.2,12.1,9.5,47.8,2,6.6,1.4,1.3,-0.5,-0.8,-1.3,0.2,3.4,4.7,13.3,7.6,11.7,8.8,11.5,10.1,1.2,1.3,103.5,14.1,116.8,40,35.1,47.4,55.2,28.4
turneev01,Evan Turner,2020,31,PG,ATL,-7.6,ATL,19,251,7.7,13.2,8.6,42.4,5.3,5.3,2.4,3.6,-5.5,0.7,-4.8,-0.3,5.5,2.6,16.4,20.6,26.2,3.4,13,8.2,1.7,2.7,83.6,17.9,114.6,40.3,0,85.7,7.5,20.9
dedmode01,Dewayne Dedmon,2020,30,C,ATL,-7.6,ATL,10,233,7.2,23.3,12.1,46.3,1,12.3,3.7,1.5,-4.2,3.7,-0.6,0.3,8.2,7.3,17.4,4.3,10.3,6.4,31.8,18.9,2,5.4,93.9,16.9,107,52.1,22.2,87.5,42.9,9.5
wallaty01,Tyrone Wallace,2020,25,SG,ATL,-7.6,ATL,14,160,4.9,11.4,8.7,38.9,2.8,4.8,1.7,2.2,-6.5,1.4,-5.1,-0.2,2.4,-0.1,16,10.9,16.3,2,13,7.4,2,0.5,79.9,16.2,115.1,44.8,6.7,64.7,34.1,38.6
parsoch01,Chandler Parsons,2020,31,SF,ATL,-7.6,ATL,5,54,1.7,10.8,9.1,38.9,1.9,4.5,3.2,1.9,-7.2,-4.4,-11.6,-0.2,4.1,4.1,16.1,7.5,14.3,2,12.1,7,3.5,1.6,76.9,15.7,111.7,25,28.6,NA,77.8,0
brownch02,Charlie Brown,2020,22,SG,ATL,-7.6,ATL,10,40,1.2,4,17.5,47.2,1.7,3.5,3.5,2.6,0.4,5.8,6.2,0.2,5.5,5.6,25.1,7.3,12.4,5.3,5.5,5.4,2.3,4.2,93.3,24.3,114.1,30,33.3,100,47.4,26.3
watsopa01,Paul Watson,2020,25,SG,ATL,-7.6,ATL,2,17,0.5,8.5,0,0,6.2,4.1,2.1,0,-9.5,1.1,-8.4,0,-2.9,-7.7,17.1,21.1,0,0,12.8,6.3,2.7,0,27.3,16.7,114.1,0,0,NA,42.9,0
tatumja01,Jayson Tatum,2020,21,PF,BOS,6.2,BOS,59,2043,66,34.6,24.7,56.2,3.1,7.4,2.4,2.3,3.5,1.7,5.2,8.3,14.4,14.4,28.6,14,9.7,3,18.8,11,2,2.4,110.5,27.2,105.2,47.9,39.8,80.6,37.7,25.1
smartma01,Marcus Smart,2020,25,SG,BOS,6.2,BOS,53,1721,55.6,32.5,15,51.9,5.4,4.3,2.4,1.9,0.8,2.1,2.9,5,9.2,10.1,19.3,21,11.5,2.5,10.1,6.4,2.4,1.5,110.1,19.7,107.1,42.4,34.8,83.5,58.2,20.1
brownja02,Jaylen Brown,2020,23,SF,BOS,6.2,BOS,50,1702,55,34,21.8,58.9,2.3,6.8,1.5,2.5,1.1,-0.5,0.5,2.9,11.7,11.2,24.7,10.2,11.8,3.4,16.5,10,1.6,0.9,110.8,23.5,107.6,55.2,38.1,73.6,36.4,28
walkeke02,Kemba Walker,2020,29,PG,BOS,6.2,BOS,50,1592,51.4,31.8,24.1,56.9,5.6,4.6,1.6,2.4,5.4,-0.6,4.8,6.2,13.9,14.4,27.8,24.6,10.3,2.2,11.4,6.9,1.4,1.5,115.3,27.5,109.1,47,37.7,86.7,52.6,27
haywago01,Gordon Hayward,2020,29,SF,BOS,6.2,BOS,45,1501,48.5,33.4,18.8,59.3,4.5,7.1,1.3,1.9,1.5,-0.6,0.9,2.8,13.8,13.5,20.9,19,10.8,3.2,17.6,10.5,1.1,1.2,118.4,20.8,108.2,55.3,39.2,84.7,31.1,18.3
theisda01,Daniel Theis,2020,27,C,BOS,6.2,BOS,58,1382,44.6,23.8,14.1,62.9,2.5,10,2.9,1.3,-0.3,1.9,1.6,3,10.9,13,14.7,9.9,10.1,10.2,19.2,14.7,1.2,5,130.1,15.5,104.8,63.1,32.1,76.4,21.2,27.7
wanambr01,Brad Wanamaker,2020,30,PG,BOS,6.2,BOS,63,1215,39.2,19.3,12.3,56,4.7,3.7,1.9,2.1,-1.6,-0.5,-2.1,0.4,7.7,7.3,15.4,17.6,15.9,1.7,9.2,5.5,2.1,0.9,112.1,16.1,108.5,45.2,36.7,93.1,28.3,36.5
willigr01,Grant Williams,2020,21,PF,BOS,6.2,BOS,62,970,31.3,15.6,8.2,50.8,2.3,6.2,2.3,1.7,-3.3,2.4,-0.9,0.9,3.7,4,11.5,8.3,17.7,6.5,11.7,9.1,1.4,3.1,104.5,12.3,107.7,55.1,24.7,72.5,44.3,26.6
ojelese01,Semi Ojeleye,2020,25,PF,BOS,6.2,BOS,61,891,28.8,14.6,7.8,55.7,1.3,5,0.9,0.5,-2.1,1.4,-0.7,0.9,5.3,5.9,8.8,4.5,6.5,2.9,11.9,7.5,1,0.5,119.1,8.6,110.5,47.5,36.7,89.3,61.6,17.6
kanteen01,Enes Kanter,2020,27,C,BOS,6.2,BOS,51,891,28.8,17.5,16.9,59.4,2,16,2.4,2.1,1.1,1.7,2.8,2.5,15.4,17.1,19.3,8.4,12.9,17.1,30.2,23.7,1.1,3.9,121.5,20.5,102.8,57.6,14.3,70.8,2.3,28.6
greenja02,Javonte Green,2020,26,SF,BOS,6.2,BOS,44,414,13.4,9.4,11.1,55.8,2,7,2.6,1.6,-2.6,0.4,-2.2,0.1,8.1,8.9,13.6,7.6,13.7,4.7,15.9,10.4,2.7,1.6,109.7,13.8,104.8,57.3,26.1,63.9,23.5,36.7
williro04,Robert Williams,2020,22,C,BOS,6.2,BOS,23,323,10.4,14,11,67.1,2.5,12.1,5.4,2.2,-1.7,2.6,0.9,0.6,12.3,15.5,12.3,9.5,21.5,11.4,24.3,17.9,3,8,122.9,13.8,97.5,67.7,NA,56,0,40.3
